"","MSN","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","Description","State","StateName"
"11","TETCB",701562,706226,765534,803621,857725,917780,998188,1062891,1154138,1228336,1281009,1349064,1435826,1555418,1495883,1490137,1552929,1629162,1683507,1730075,1717557,1694616,1680042,1749505,1875367,1931245,1953859,2049217,2138471,2219783,2229704,2222569,2266653,2420189,2436931,2617424,2774219,2752080,2784476,2802868,2919531,2819162,2934544,2954883,3093790,3108442,3089838,3080038,2949332,2915601,3100144,2982837,2767491,2782782,2850990,"Total energy consumption.","GA","Georgia"
"12","TETCB",94855,113772,108306,114308,123481,130589,145505,163868,182801,190890,196979,211699,218088,224342,212139,214429,220087,233361,236977,256672,262456,236808,218287,221347,232426,248555,245329,249461,289692,309779,321434,295171,306060,282899,299373,297065,283295,273614,273560,269502,273495,270325,284900,301096,314910,324913,327389,338021,277106,276677,278046,287113,280171,281329,281206,"Total energy consumption.","HI","Hawaii"
"13","TETCB",602393,600462,626989,644807,670010,697362,699406,747655,782037,822106,850829,862715,904757,963155,950175,942635,980209,981154,963184,1039858,983984,969292,970038,953923,937293,898498,902493,907224,979000,941086,945871,982068,973339,1036303,1067942,1105871,1148606,1135217,1144665,1195217,1191823,1163633,1192857,1187459,1242975,1275632,1303413,1379867,1443838,1451097,1499729,1498973,1440053,1518870,1541900,"Total energy consumption.","IA","Iowa"
"14","TETCB",190689,202896,211209,213350,230469,234793,245125,266759,287259,286795,296413,311621,334056,337025,347839,358890,362236,366462,369965,384079,347717,361939,350377,345715,346845,354853,342169,345525,365738,399762,405414,415496,420072,435428,450151,463782,497525,499597,504435,527728,540023,501185,496504,469830,501973,510973,524237,541614,537686,502743,516120,516978,510869,526613,519935,"Total energy consumption.","ID","Idaho"
"15","TETCB",2527178,2562301,2659812,2723285,2853253,3030575,3189994,3315785,3451757,3635972,3698253,3724341,3931571,4021666,3958922,3863205,4022402,4102933,4203077,4054014,3771873,3550532,3396645,3475454,3504791,3437085,3420061,3475787,3706619,3619981,3581174,3645143,3623695,3729593,3747253,3857016,3941549,3916939,3828592,3998197,4016976,3886712,3901924,3927456,3974427,4119671,3969759,4077046,4081781,3862957,3955091,3937616,3820547,3991089,4042313,"Total energy consumption.","IL","Illinois"
"16","TETCB",1531067,1551659,1581586,1635716,1715404,1799062,1920148,1952147,2043557,2157196,2219865,2236310,2436007,2474655,2432314,2378215,2410904,2486593,2536343,2586227,2400599,2359623,2177836,2198089,2271233,2301534,2262840,2380921,2484610,2517335,2492407,2474930,2460381,2567909,2552598,2618508,2702858,2681875,2671800,2785909,2867541,2771322,2856345,2937259,2929687,2955181,2892682,2958304,2917672,2714090,2863396,2847188,2770158,2894764,2931630,"Total energy consumption.","IN","Indiana"
"17","TETCB",631796,618593,639952,641606,657588,724161,764078,722961,793944,839491,874412,908399,961348,966538,959918,925231,972888,981586,1037533,1132776,1022744,947908,946138,918421,1019959,1014562,975862,1017138,1071478,1044606,1066456,1061000,1047973,1075939,1101341,1065552,1095762,1085454,1073794,1093064,1100101,1048834,1084361,1124994,1105559,1049654,1077751,1159143,1114605,1088717,1117631,1104843,1075435,1105160,1132354,"Total energy consumption.","KS","Kansas"
"18","TETCB",824167,819931,837570,889549,891616,901019,907302,954219,1014453,1073719,1105190,1118165,1203702,1237678,1229076,1279131,1401149,1414868,1401090,1433445,1368806,1297953,1262684,1277227,1375812,1330171,1304903,1341657,1419500,1509378,1462803,1487035,1548954,1588100,1635669,1704165,1722067,1730854,1689177,1776065,1767397,1797863,1949188,1882785,1956833,1983622,1974144,2044593,2009245,1931038,1978527,1903208,1868483,1838898,1770741,"Total energy consumption.","KY","Kentucky"
"19","TETCB",1509592,1572683,1588806,1756472,1876431,1843331,1984862,2238323,2424458,2704622,2840721,2901626,3088439,3323191,3414052,3113223,3541481,3942869,4102110,4050965,3914218,3970057,3647798,3442860,3583587,3348558,3507057,3569097,3606859,3763796,3858312,3847059,3965926,4034331,4169781,4209580,4388479,4496403,4227194,4226913,4550603,4014794,4149771,3989787,4193487,4033317,4238314,4293444,4243562,4056585,4385758,4388867,4255161,4196622,4279443,"Total energy consumption.","LA","Louisiana"
"20","TETCB",1054221,1080062,1112029,1083397,1119766,1245398,1248142,1326510,1373646,1402451,1464439,1493856,1546543,1581640,1475143,1420430,1499312,1486770,1471794,1308594,1246829,1215906,1235051,1232102,1292314,1313714,1383354,1404996,1427431,1459758,1406841,1365847,1432293,1436354,1440767,1424673,1449778,1443288,1423119,1469809,1521865,1517904,1533751,1498323,1497778,1491623,1420299,1459064,1437278,1376601,1416119,1397164,1363282,1428433,1437640,"Total energy consumption.","MA","Massachusetts"
"21","TETCB",697377,700033,748501,775444,823905,860051,900436,915543,969025,1024006,1068020,1104577,1122834,1214681,1123145,1069477,1148222,1129967,1154812,1219360,1156630,1141032,1102252,1120496,1192511,1160115,1182486,1249169,1288414,1320508,1268968,1265310,1253149,1301547,1309851,1326266,1364920,1362738,1366300,1404591,1443736,1434344,1519629,1569272,1551713,1579528,1471471,1506802,1468011,1456402,1464503,1410012,1368600,1395961,1400614,"Total energy consumption.","MD","Maryland"
"22","TETCB",232345,244910,237920,241444,242748,232211,244303,256816,271199,288294,302394,353586,380438,378961,354431,324675,380623,396894,384665,363638,381590,380534,426476,391618,418315,423490,444397,433213,484815,479036,457273,460127,480129,484982,486110,466298,481425,483151,453680,454349,490263,445176,446451,450227,462090,458869,450888,450530,455648,413377,415065,413893,399670,409785,410530,"Total energy consumption.","ME","Maine"
"23","TETCB",1851832,1876863,1985381,2072876,2140646,2278624,2430563,2490898,2627352,2734316,2702586,2798249,2970385,3060483,2916412,2865849,2984164,2873412,2942668,2923759,2824680,2673249,2525390,2521700,2597439,2635524,2652909,2640525,2812947,2846499,2874111,2807434,2855785,2852969,2873842,2999540,3099998,3100280,3038063,3202952,3201879,3084452,3140413,3179579,3143703,3195796,3026797,3023760,2917199,2691853,2753536,2785212,2687926,2832425,2881550,"Total energy consumption.","MI","Michigan"
"24","TETCB",723332,728507,766930,775933,816299,865620,922467,929428,991513,1081972,1107966,1148590,1209882,1257820,1237697,1246227,1293754,1257507,1350829,1350909,1224657,1176854,1187761,1190822,1251990,1258541,1246199,1251591,1355430,1392910,1401020,1427757,1441502,1488705,1525256,1609500,1680161,1649720,1626610,1699819,1750762,1722309,1786812,1864859,1865082,1859167,1832701,1895574,1912893,1787558,1857095,1850749,1816866,1858816,1912065,"Total energy consumption.","MN","Minnesota"
